Date,Place,Item,Quantity,Price,Category
2/12/2022,Kolonne River Side Garden Hotel,Chicken curry,1,350,Food
2/12/2022,Kolonne River Side Garden Hotel,Chicken Rice,1,550,Food
2/12/2022,Kolonne River Side Garden Hotel,Pool Charges,1,300,Food
2/13/2022,Jaya Sri Hardware Stores,Hooks,1,520,Housing and Bills
2/14/2022,C.S.Super Hardware,500 lpet water tank,1,5000,Housing and Bills
2/14/2022,C.S.Super Hardware,cement,1,4990,Housing and Bills
2/14/2022,C.S.Super Hardware,pipes,1,120,Housing and Bills
2/15/2022,Kandy,Sport Pant,1,1295,Personal Care
2/16/2022,Kandy,Blouse,1,990,Personal Care
2/17/2022,Wijaya Mandiraya,Kitty Kitty Setting Plain,1,2275,Personal Care
2/17/2022,Wijaya Mandiraya,Womens Party Wear Work Saree,1,12900,Personal Care
2/18/2022,Janatha Trade Centre,Cosmatics,1,425,Personal Care
2/18/2022,Sepali Trade Centre,HP Installment Payment,1,10700,Housing and Bills
2/19/2022,Lanka Sathosa,Gillette Blue 2 plus Razor,1,70,Grocery
2/20/2022,Lanka Sathosa,Kist Passion fruit cordial,1,270,Grocery
2/21/2022,Cargills Food City,Asiri Cocktail Mixture,1,100,Grocery
2/22/2022,Cargills Food City,Sunlight Soap Yellow,1,180,Grocery
2/23/2022,Cargills Food City,Kotmale milk Vanilla,1,410,Grocery
2/24/2022,MR KOTTU GRAND,Chicken Rice Kottu L,1,2000,Food
2/25/2022,MR KOTTU GRAND,Chicken Cheese Kottu L,1,1200,Food
2/26/2022,MR KOTTU GRAND,Sprite,1,480,Food
2/27/2022,MR KOTTU GRAND,EGB 400ml,1,370,Food
2/28/2022,MR KOTTU GRAND,Biscuit pudding,1,200,Food
3/1/2022,MR KOTTU GRAND,Cream caramal,1,1600,Food
2/13/2022,cargills Food City,citrus fruit,1,300,Grocery
2/14/2022,cargills Food City,tropical fruit,1,300,Grocery
2/15/2022,cargills Food City,whole milk,1,300,Grocery
2/16/2022,cargills Food City,pip fruit,1,300,Grocery
2/17/2022,cargills Food City,other vegetables,1,300,Grocery
2/18/2022,cargills Food City,rolls/buns,1,300,Grocery
2/19/2022,cargills Food City,potted plants,1,300,Grocery
2/20/2022,cargills Food City,beef,1,300,Grocery
2/21/2022,cargills Food City,frankfurter,1,300,Grocery
2/22/2022,cargills Food City,chicken,1,300,Grocery
2/23/2022,cargills Food City,butter,1,300,Grocery
2/24/2022,cargills Food City,fruit/vegetable juice,1,300,Grocery
2/25/2022,cargills Food City,packaged fruit/vegetables,1,300,Grocery
2/26/2022,cargills Food City,chocolate,1,300,Grocery
2/27/2022,cargills Food City,specialty bar,1,300,Grocery
2/28/2022,cargills Food City,butter milk,1,300,Grocery
3/1/2022,cargills Food City,bottled water,1,300,Grocery
3/2/2022,cargills Food City,yogurt,1,300,Grocery
3/3/2022,cargills Food City,sausage,1,300,Grocery
3/4/2022,cargills Food City,brown bread,1,300,Grocery
3/5/2022,cargills Food City,hamburger meat,1,300,Grocery
3/6/2022,cargills Food City,root vegetables,1,300,Grocery
3/7/2022,cargills Food City,pork,1,300,Grocery
3/8/2022,cargills Food City,pastry,1,300,Grocery
3/9/2022,cargills Food City,canned beer,1,300,Grocery
3/10/2022,cargills Food City,berries,1,300,Grocery
3/11/2022,cargills Food City,coffee,1,300,Grocery
3/12/2022,cargills Food City,misc. beverages,1,300,Grocery
3/13/2022,cargills Food City,ham,1,300,Grocery
3/14/2022,cargills Food City,turkey,1,300,Grocery
3/15/2022,cargills Food City,curd cheese,1,300,Grocery
3/16/2022,cargills Food City,red/blush wine,1,300,Grocery
3/17/2022,cargills Food City,frozen potato products,1,300,Grocery
3/18/2022,cargills Food City,flour,1,300,Grocery
3/19/2022,cargills Food City,sugar,1,300,Grocery
3/20/2022,cargills Food City,frozen meals,1,300,Grocery
3/21/2022,cargills Food City,herbs,1,300,Grocery
3/22/2022,cargills Food City,soda,1,300,Grocery
3/23/2022,cargills Food City,detergent,1,300,Grocery
3/24/2022,cargills Food City,grapes,1,300,Grocery
3/25/2022,cargills Food City,processed cheese,1,300,Grocery
3/26/2022,cargills Food City,fish,1,300,Grocery
3/27/2022,cargills Food City,sparkling wine,1,300,Grocery
3/28/2022,cargills Food City,newspapers,1,300,Grocery
3/29/2022,cargills Food City,curd,1,300,Grocery
3/30/2022,cargills Food City,pasta,1,300,Grocery
3/31/2022,cargills Food City,popcorn,1,300,Grocery
4/1/2022,cargills Food City,finished products,1,300,Grocery
4/2/2022,cargills Food City,beverages,1,300,Grocery
4/3/2022,cargills Food City,bottled beer,1,300,Grocery
4/4/2022,cargills Food City,dessert,1,300,Grocery
4/5/2022,cargills Food City,dog food,1,300,Grocery
4/6/2022,cargills Food City,specialty chocolate,1,300,Grocery
4/7/2022,cargills Food City,condensed milk,1,300,Grocery
4/8/2022,cargills Food City,cleaner,1,300,Grocery
4/9/2022,cargills Food City,white wine,1,300,Grocery
4/10/2022,cargills Food City,meat,1,300,Grocery
4/11/2022,cargills Food City,ice cream,1,300,Grocery
4/12/2022,cargills Food City,hard cheese,1,300,Grocery
4/13/2022,cargills Food City,cream cheese,1,300,Grocery
4/14/2022,cargills Food City,liquor,1,300,Grocery
4/15/2022,cargills Food City,pickled vegetables,1,300,Grocery
4/16/2022,cargills Food City,liquor (appetizer),1,300,Grocery
4/17/2022,cargills Food City,UHT-milk,1,300,Grocery
4/18/2022,cargills Food City,candy,1,300,Grocery
4/19/2022,cargills Food City,onions,1,300,Grocery
4/20/2022,cargills Food City,hair spray,1,300,Grocery
4/21/2022,cargills Food City,photo/film,1,300,Grocery
4/22/2022,cargills Food City,domestic eggs,1,300,Grocery
4/23/2022,cargills Food City,margarine,1,300,Grocery
4/24/2022,cargills Food City,shopping bags,1,300,Grocery
4/25/2022,cargills Food City,salt,1,300,Grocery
4/26/2022,cargills Food City,oil,1,300,Grocery
4/27/2022,cargills Food City,whipped/sour cream,1,300,Grocery
4/28/2022,cargills Food City,frozen vegetables,1,300,Grocery
4/29/2022,cargills Food City,sliced cheese,1,300,Grocery
4/30/2022,cargills Food City,dish cleaner,1,300,Grocery
5/1/2022,cargills Food City,baking powder,1,300,Grocery
5/2/2022,cargills Food City,specialty cheese,1,300,Grocery
5/3/2022,cargills Food City,salty snack,1,300,Grocery
5/4/2022,cargills Food City,Instant food products,1,300,Grocery
5/5/2022,cargills Food City,pet care,1,300,Grocery
5/6/2022,cargills Food City,white bread,1,300,Grocery
5/7/2022,cargills Food City,female sanitary products,1,300,Grocery
5/8/2022,cargills Food City,cling film/bags,1,300,Grocery
5/9/2022,cargills Food City,soap,1,300,Grocery
5/10/2022,cargills Food City,frozen chicken,1,300,Grocery
5/11/2022,cargills Food City,house keeping products,1,300,Grocery
5/12/2022,cargills Food City,spread cheese,1,300,Grocery
5/13/2022,cargills Food City,decalcifier,1,300,Grocery
5/14/2022,cargills Food City,frozen dessert,1,300,Grocery
5/15/2022,cargills Food City,vinegar,1,300,Grocery
5/16/2022,cargills Food City,nuts/prunes,1,300,Grocery
5/17/2022,cargills Food City,potato products,1,300,Grocery
5/18/2022,cargills Food City,frozen fish,1,300,Grocery
5/19/2022,cargills Food City,hygiene articles,1,300,Grocery
5/20/2022,cargills Food City,artif. sweetener,1,300,Grocery
5/21/2022,cargills Food City,light bulbs,1,300,Grocery
5/22/2022,cargills Food City,canned vegetables,1,300,Grocery
5/23/2022,cargills Food City,chewing gum,1,300,Grocery
5/24/2022,cargills Food City,canned fish,1,300,Grocery
5/25/2022,cargills Food City,cookware,1,300,Grocery
5/26/2022,cargills Food City,semi-finished bread,1,300,Grocery
5/27/2022,cargills Food City,cat food,1,300,Grocery
5/28/2022,cargills Food City,bathroom cleaner,1,300,Grocery
5/29/2022,cargills Food City,prosecco,1,300,Grocery
5/30/2022,cargills Food City,liver loaf,1,300,Grocery
5/31/2022,cargills Food City,zwieback,1,300,Grocery
6/1/2022,cargills Food City,canned fruit,1,300,Grocery
6/2/2022,cargills Food City,frozen fruits,1,300,Grocery
6/3/2022,cargills Food City,brandy,1,300,Grocery
6/4/2022,cargills Food City,baby cosmetics,1,300,Grocery
6/5/2022,cargills Food City,spices,1,300,Grocery
6/6/2022,cargills Food City,napkins,1,300,Grocery
6/7/2022,cargills Food City,waffles,1,300,Grocery
6/8/2022,cargills Food City,sauces,1,300,Grocery
6/9/2022,cargills Food City,rum,1,300,Grocery
6/10/2022,cargills Food City,chocolate marshmallow,1,300,Grocery
6/11/2022,cargills Food City,long life bakery product,1,300,Grocery
6/12/2022,cargills Food City,bags,1,300,Grocery
6/13/2022,cargills Food City,sweet spreads,1,300,Grocery
6/14/2022,cargills Food City,soups,1,300,Grocery
6/15/2022,cargills Food City,mustard,1,300,Grocery
6/16/2022,cargills Food City,specialty fat,1,300,Grocery
6/17/2022,cargills Food City,instant coffee,1,300,Grocery
6/18/2022,cargills Food City,snack products,1,300,Grocery
6/19/2022,cargills Food City,organic sausage,1,300,Grocery
6/20/2022,cargills Food City,soft cheese,1,300,Grocery
6/21/2022,cargills Food City,mayonnaise,1,300,Grocery
6/22/2022,cargills Food City,dental care,1,300,Grocery
6/23/2022,cargills Food City,roll products,1,300,Grocery
6/24/2022,cargills Food City,kitchen towels,1,300,Grocery
6/25/2022,cargills Food City,flower soil/fertilizer,1,300,Grocery
6/26/2022,cargills Food City,cereals,1,300,Grocery
6/27/2022,cargills Food City,meat spreads,1,300,Grocery
6/28/2022,cargills Food City,dishes,1,300,Grocery
6/29/2022,cargills Food City,male cosmetics,1,300,Grocery
6/30/2022,cargills Food City,candles,1,300,Grocery
7/1/2022,cargills Food City,whisky,1,300,Grocery
7/2/2022,cargills Food City,tidbits,1,300,Grocery
7/3/2022,cargills Food City,cooking chocolate,1,300,Grocery
7/4/2022,cargills Food City,seasonal products,1,300,Grocery
7/5/2022,cargills Food City,liqueur,1,300,Grocery
7/6/2022,cargills Food City,abrasive cleaner,1,300,Grocery
7/7/2022,cargills Food City,syrup,1,300,Grocery
7/8/2022,cargills Food City,ketchup,1,300,Grocery
7/9/2022,cargills Food City,cream,1,300,Grocery
7/10/2022,cargills Food City,skin care,1,300,Grocery
7/11/2022,cargills Food City,rubbing alcohol,1,300,Grocery
7/12/2022,cargills Food City,nut snack,1,300,Grocery
7/13/2022,cargills Food City,cocoa drinks,1,300,Grocery
7/14/2022,cargills Food City,softener,1,300,Grocery
7/15/2022,cargills Food City,organic products,1,300,Grocery
7/16/2022,cargills Food City,cake bar,1,300,Grocery
7/17/2022,cargills Food City,honey,1,300,Grocery
7/18/2022,cargills Food City,jam,1,300,Grocery
7/19/2022,cargills Food City,kitchen utensil,1,300,Grocery
7/20/2022,cargills Food City,flower (seeds),1,300,Grocery
9/24/2022,IUS Pharmacy & Grocery,Abacavir,1,346,Medical
12/2/2022,IUS Pharmacy & Grocery,"Abacavir, dolutegravir, and lamivudine",1,232,Medical
8/28/2022,IUS Pharmacy & Grocery,Abacavir and lamivudine,1,348,Medical
1/10/2023,IUS Pharmacy & Grocery,Abacavir and Lamivudine Tablets,1,278,Medical
12/4/2022,IUS Pharmacy & Grocery,"Abacavir, lamivudine, and zidovudine",1,317,Medical
8/9/2022,IUS Pharmacy & Grocery,"Abacavir, Lamivudine and Zidovudine Tablets",1,329,Medical
1/4/2022,IUS Pharmacy & Grocery,Abacavir Oral Solution,1,263,Medical
4/19/2022,IUS Pharmacy & Grocery,Abacavir Sulfate,1,379,Medical
11/21/2022,IUS Pharmacy & Grocery,Abacavir Sulfate Tablets,1,165,Medical
3/19/2022,IUS Pharmacy & Grocery,Abacavir Tablets,1,274,Medical
5/18/2022,IUS Pharmacy & Grocery,Abaloparatide,1,301,Medical
5/15/2022,IUS Pharmacy & Grocery,Abaloparatide Subcutaneous,1,315,Medical
3/31/2022,IUS Pharmacy & Grocery,Abametapir,1,319,Medical
4/24/2022,IUS Pharmacy & Grocery,Abatacept,1,223,Medical
7/7/2022,IUS Pharmacy & Grocery,Abatacept Auto-Injectors,1,229,Medical
10/28/2022,IUS Pharmacy & Grocery,Abatacept Infusion,1,139,Medical
3/4/2022,IUS Pharmacy & Grocery,Abatacept Intravenous,1,281,Medical
10/29/2022,IUS Pharmacy & Grocery,Abatacept Prefilled Syringes,1,413,Medical
12/30/2022,IUS Pharmacy & Grocery,Abatron,1,222,Medical
5/18/2022,IUS Pharmacy & Grocery,Abatuss DMX,1,302,Medical
4/18/2022,IUS Pharmacy & Grocery,Abbokinase,1,243,Medical
2/25/2022,IUS Pharmacy & Grocery,Abciximab,1,376,Medical
1/8/2023,IUS Pharmacy & Grocery,Abciximab Intravenous,1,417,Medical
5/21/2022,IUS Pharmacy & Grocery,ABDEK,1,313,Medical
10/12/2022,IUS Pharmacy & Grocery,Abelcet,1,254,Medical
5/17/2022,IUS Pharmacy & Grocery,Abemaciclib,1,106,Medical
5/2/2022,IUS Pharmacy & Grocery,Abenol,1,241,Medical
1/15/2023,IUS Pharmacy & Grocery,Abilify,1,378,Medical
6/10/2022,IUS Pharmacy & Grocery,Abilify (Aripiprazole Injection),1,210,Medical
6/30/2022,IUS Pharmacy & Grocery,Abilify (Aripiprazole Oral Solution),1,234,Medical
1/30/2022,IUS Pharmacy & Grocery,Abilify (Aripiprazole Tablets),1,152,Medical
3/2/2022,IUS Pharmacy & Grocery,Abilify Discmelt,1,423,Medical
7/6/2022,IUS Pharmacy & Grocery,Abilify Intramuscular,1,443,Medical
5/29/2022,IUS Pharmacy & Grocery,Abilify Maintena,1,438,Medical
5/3/2022,IUS Pharmacy & Grocery,Abilify Maintena injection,1,334,Medical
3/24/2022,IUS Pharmacy & Grocery,Abilify MyCite,1,119,Medical
1/19/2023,IUS Pharmacy & Grocery,Abiraterone,1,111,Medical
6/13/2022,IUS Pharmacy & Grocery,Abiraterone acetate,1,450,Medical
8/1/2022,IUS Pharmacy & Grocery,Abiraterone Acetate (Yonsa),1,366,Medical
1/2/2022,IUS Pharmacy & Grocery,Abiraterone Acetate (Zytiga),1,181,Medical
4/9/2022,IUS Pharmacy & Grocery,Ablavar,1,328,Medical
8/22/2022,IUS Pharmacy & Grocery,Ablysinol,1,433,Medical
5/29/2022,IUS Pharmacy & Grocery,AbobotulinumtoxinA,1,197,Medical
11/21/2022,IUS Pharmacy & Grocery,Abobotulinumtoxina Intramuscular,1,386,Medical
5/22/2022,IUS Pharmacy & Grocery,A/B Otic,1,144,Medical
5/11/2022,IUS Pharmacy & Grocery,Abraxane,1,385,Medical
5/3/2022,IUS Pharmacy & Grocery,Abreva,1,369,Medical
12/8/2022,IUS Pharmacy & Grocery,Abreva Topical,1,171,Medical
10/9/2022,IUS Pharmacy & Grocery,ABRILADA,1,324,Medical
4/15/2022,IUS Pharmacy & Grocery,Absorbine Athletes Foot,1,407,Medical
8/27/2022,IUS Pharmacy & Grocery,Absorbine Jr.,1,396,Medical
1/4/2023,IUS Pharmacy & Grocery,Absorbine Jr. Antifungal,1,263,Medical
8/3/2022,IUS Pharmacy & Grocery,Absorbine Jr. Antifungal Topical,1,150,Medical
10/15/2022,IUS Pharmacy & Grocery,Absorbine Veterinary,1,226,Medical
3/15/2022,IUS Pharmacy & Grocery,Absorica,1,249,Medical
11/6/2022,IUS Pharmacy & Grocery,Absorica LD,1,225,Medical
4/29/2022,IUS Pharmacy & Grocery,Abstral,1,227,Medical
6/6/2022,IUS Pharmacy & Grocery,Abstral Sublingual Tablet,1,206,Medical
2/18/2022,IUS Pharmacy & Grocery,Acacia Gum,1,278,Medical
1/7/2023,IUS Pharmacy & Grocery,Acai,1,418,Medical
2/8/2022,IUS Pharmacy & Grocery,Acalabrutinib,1,401,Medical
6/20/2022,IUS Pharmacy & Grocery,ACAM2000,1,193,Medical
4/13/2022,IUS Pharmacy & Grocery,Acamprosate,1,328,Medical
10/7/2022,IUS Pharmacy & Grocery,Acamprosate Calcium,1,412,Medical
2/7/2022,IUS Pharmacy & Grocery,Acanya,1,441,Medical
1/12/2023,IUS Pharmacy & Grocery,Acarbose,1,410,Medical
2/1/2022,IUS Pharmacy & Grocery,Acarexx,1,432,Medical
11/24/2022,IUS Pharmacy & Grocery,A-Caro-25,1,444,Medical
3/18/2022,IUS Pharmacy & Grocery,ACAT SUK,1,112,Medical
1/22/2023,IUS Pharmacy & Grocery,Acb,1,383,Medical
12/28/2022,IUS Pharmacy & Grocery,Accelerated Covid-19 Test Kit,1,174,Medical
1/26/2022,IUS Pharmacy & Grocery,AccessPak for HIV PEP Basic,1,121,Medical
8/30/2022,IUS Pharmacy & Grocery,AccessPak for HIV PEP Expanded with Kaletra,1,140,Medical
2/6/2022,IUS Pharmacy & Grocery,AccessPak for HIV PEP Expanded with Viracept,1,137,Medical
8/1/2022,IUS Pharmacy & Grocery,Acclean,1,256,Medical
10/18/2022,IUS Pharmacy & Grocery,Acclean 60 Second Fluoride Treatment,1,324,Medical
4/12/2022,IUS Pharmacy & Grocery,Acclean Plus,1,325,Medical
7/28/2022,IUS Pharmacy & Grocery,Accolate,1,431,Medical
2/17/2022,IUS Pharmacy & Grocery,Accretropin,1,110,Medical
6/2/2022,IUS Pharmacy & Grocery,Accrufer,1,161,Medical
9/8/2022,IUS Pharmacy & Grocery,Accucaine,1,224,Medical
7/23/2022,IUS Pharmacy & Grocery,AccuHist Drops,1,312,Medical
1/21/2023,IUS Pharmacy & Grocery,AccuHist PDX Drops,1,402,Medical
2/5/2022,IUS Pharmacy & Grocery,AccuHist PDX Syrup,1,154,Medical
8/25/2022,IUS Pharmacy & Grocery,Accuneb,1,185,Medical
1/22/2023,IUS Pharmacy & Grocery,Accupril,1,305,Medical
1/6/2022,IUS Pharmacy & Grocery,Accuretic,1,437,Medical
9/14/2022,IUS Pharmacy & Grocery,Accutane,1,257,Medical
3/16/2022,IUS Pharmacy & Grocery,ACD  A,1,228,Medical
2/18/2022,IUS Pharmacy & Grocery,ACD Blood Pack Units,1,390,Medical
11/20/2022,IUS Pharmacy & Grocery,ACD Solution Modified,1,149,Medical
1/22/2022,IUS Pharmacy & Grocery,Acebutolol,1,114,Medical
12/21/2022,IUS Pharmacy & Grocery,Acebutolol Hydrochloride,1,338,Medical
12/1/2022,IUS Pharmacy & Grocery,Acella Antipyrine and Benzocaine Otic Solution,1,230,Medical
4/1/2022,IUS Pharmacy & Grocery,Acella Hydrocortisone Acetate - Pramoxine Singles,1,417,Medical
1/1/2022,IUS Pharmacy & Grocery,Aceon,1,397,Medical
7/28/2022,IUS Pharmacy & Grocery,Acephen,1,306,Medical
11/16/2022,IUS Pharmacy & Grocery,Acephen rectal,1,181,Medical
12/12/2022,IUS Pharmacy & Grocery,Acerola,1,435,Medical
1/1/2023,IUS Pharmacy & Grocery,Aceso Ag,1,287,Medical
10/28/2022,IUS Pharmacy & Grocery,Acetadote,1,148,Medical
11/28/2022,IUS Pharmacy & Grocery,Aceta-Gesic,1,232,Medical
3/30/2022,IUS Pharmacy & Grocery,Acetaminophen,1,417,Medical
8/23/2022,IUS Pharmacy & Grocery,Acetaminophen and Aspirin (Buffered),1,263,Medical
2/22/2022,IUS Pharmacy & Grocery,"Acetaminophen, aspirin, and caffeine",1,261,Medical
1/1/2023,IUS Pharmacy & Grocery,"Acetaminophen, Aspirin, and Caffeine Powder Packet",1,439,Medical
10/21/2022,IUS Pharmacy & Grocery,"Acetaminophen, Aspirin, Caffeine, and Salicylamide Tablets",1,149,Medical
1/17/2023,IUS Pharmacy & Grocery,"Acetaminophen, Aspirin, and Caffeine Tablets",1,206,Medical
10/25/2022,IUS Pharmacy & Grocery,Acetaminophen Aspirin Codeine,1,237,Medical
7/27/2022,IUS Pharmacy & Grocery,Acetaminophen and benzhydrocodone,1,249,Medical
5/27/2022,IUS Pharmacy & Grocery,Acetaminophen and butalbital,1,130,Medical
8/15/2022,IUS Pharmacy & Grocery,"Acetaminophen, butalbital, and caffeine",1,425,Medical
8/14/2022,IUS Pharmacy & Grocery,"Acetaminophen, butalbital, caffeine, and codeine",1,421,Medical
1/30/2022,IUS Pharmacy & Grocery,Acetaminophen and caffeine,1,350,Medical
9/17/2022,IUS Pharmacy & Grocery,"Acetaminophen, caffeine, and dihydrocodeine",1,391,Medical
7/11/2022,IUS Pharmacy & Grocery,"Acetaminophen, Caffeine, and Isometheptene Mucate",1,311,Medical
11/13/2022,IUS Pharmacy & Grocery,"Acetaminophen, caffeine, and magnesium salicylate",1,156,Medical
12/4/2022,IUS Pharmacy & Grocery,"Acetaminophen, Caffeine, and Phenylephrine",1,308,Medical
2/26/2022,IUS Pharmacy & Grocery,"Acetaminophen, Caffeine, and Pyrilamine",1,330,Medical
11/9/2022,IUS Pharmacy & Grocery,Acetaminophen Capsules and Tablets,1,390,Medical
11/7/2022,IUS Pharmacy & Grocery,Acetaminophen Chewable Tablets,1,409,Medical
9/17/2022,IUS Pharmacy & Grocery,Acetaminophen and chlorpheniramine,1,205,Medical
1/23/2022,IUS Pharmacy & Grocery,"Acetaminophen, chlorpheniramine, and dextromethorphan",1,432,Medical
6/27/2022,IUS Pharmacy & Grocery,"Acetaminophen, Chlorpheniramine, Dextromethorphan, and Guaifenesin",1,278,Medical
6/9/2022,IUS Pharmacy & Grocery,"Acetaminophen, Chlorpheniramine, and Dextromethorphan Liquid and Syrup",1,137,Medical
10/16/2022,IUS Pharmacy & Grocery,Acetaminophen/Chlorpheniramine/Dextromethorphan/Phenylephrine Caps & Tabs,1,431,Medical
6/9/2022,IUS Pharmacy & Grocery,"Acetaminophen, Chlorpheniramine, Dextromethorphan, Phenylephrine Liquid",1,447,Medical
